axiom,family,module,origin,primary_kernel,shape_class,arith_domain,primitive_steps,peak_bignum_bits,max_nat_literal_digits,note
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_6,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_60,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_61,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_62,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_63,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_64,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_65,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_66,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_67,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_68,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_69,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_7,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_70,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_71,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_72,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_73,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_74,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_75,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_76,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_77,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_78,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_79,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_8,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_80,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_81,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_82,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_83,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_84,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_85,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_86,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_87,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_88,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_89,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_9,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_90,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_91,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_92,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_93,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_94,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_95,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_96,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_97,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_98,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified._native.native_decide.ax_1_99,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SIIHighCells,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_highCell_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_1,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_10,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_11,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified._native.native_decide.ax_1_12,MathExtras.NumberTheory.Helfgott,MathExtras.NumberTheory.Helfgott.Section53Corrected4ThrBandNoP2SII,MathExtras.Helfgott.MinorSection51Pieces.bandFiniteMarginNoP2SII_verified,MathExtras.Helfgott.MinorSection51Pieces.BandIntervalExpr.evalInterval,bisection-tree,"RatInterval (exp/log/sqrt nodes, no rounding)",7650,10000,0,adaptiveUpper depth 7 (worst case 255 cells) x ~30 transcendental nodes/cell
